filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20190129_141042_001.jpg,1200,674,Five Cent,444,302,584,424
IMG_20190129_141042_001.jpg,1200,674,Ten Cent,736,296,878,406
IMG_20190129_141042_001.jpg,1200,674,Twenty Cent,582,244,730,364
IMG_20190129_141042_001.jpg,1200,674,Fifty Cent,424,202,580,338
IMG_20190129_141042_001.jpg,1200,674,One Euro,614,360,774,512
IMG_20190129_141042_001.jpg,1200,674,Two Euro,708,242,862,370
IMG_20190129_140915_008.jpg,1200,674,Twenty Cent,490,170,764,446
IMG_20190129_165529.jpg,1200,674,Five Cent,166,26,340,142
IMG_20190129_165529.jpg,1200,674,Five Cent,262,126,440,264
IMG_20190129_165529.jpg,1200,674,Five Cent,84,240,292,416
IMG_20190129_165529.jpg,1200,674,Five Cent,268,448,504,660
IMG_20190129_165529.jpg,1200,674,Five Cent,542,460,758,674
IMG_20190129_165529.jpg,1200,674,Five Cent,758,448,984,650
IMG_20190129_165529.jpg,1200,674,Five Cent,566,34,732,150
IMG_20190129_165529.jpg,1200,674,Ten Cent,626,158,806,294
IMG_20190129_165529.jpg,1200,674,Twenty Cent,588,288,796,470
IMG_20190129_165529.jpg,1200,674,Fifty Cent,354,266,586,462
IMG_20190129_165529.jpg,1200,674,One Euro,440,112,634,262
IMG_20190129_165529.jpg,1200,674,Two Euro,372,2,574,116
IMG_20190130_183111.jpg,1200,674,Five Cent,452,354,542,440
IMG_20190130_183111.jpg,1200,674,Five Cent,548,380,646,466
IMG_20190130_183111.jpg,1200,674,Five Cent,674,270,762,352
IMG_20190130_183111.jpg,1200,674,Five Cent,656,422,742,516
IMG_20190130_183111.jpg,1200,674,Five Cent,666,518,768,618
IMG_20190130_183111.jpg,1200,674,Five Cent,814,458,904,548
IMG_20190130_183111.jpg,1200,674,Five Cent,924,512,1014,606
IMG_20190130_183111.jpg,1200,674,Five Cent,506,604,604,674
IMG_20190130_183111.jpg,1200,674,Ten Cent,528,196,630,282
IMG_20190130_183111.jpg,1200,674,Twenty Cent,758,340,854,440
IMG_20190130_183111.jpg,1200,674,Fifty Cent,528,288,628,384
IMG_20190130_183111.jpg,1200,674,One Euro,432,254,528,352
IMG_20190130_183111.jpg,1200,674,Two Euro,516,482,636,594
IMG_20190129_141413.jpg,1200,674,Fifty Cent,486,228,714,460
IMG_20190129_141000_007.jpg,1200,674,Fifty Cent,412,176,720,488
IMG_20190129_163905.jpg,1200,674,Ten Cent,592,272,734,398
IMG_20190129_163905.jpg,1200,674,Fifty Cent,178,236,338,394
IMG_20190129_163905.jpg,1200,674,One Euro,1006,160,1146,294
IMG_20190129_163905.jpg,1200,674,Two Euro,674,514,854,674
IMG_20190129_163859.jpg,1200,674,Twenty Cent,822,288,990,452
IMG_20190129_163859.jpg,1200,674,Two Euro,302,296,500,488
IMG_20190129_141000_012.jpg,1200,674,Fifty Cent,408,178,754,488
IMG_20190129_141010_004.jpg,1200,674,Fifty Cent,16,2,268,204
IMG_20190129_141010_004.jpg,1200,674,Two Euro,502,220,778,464
IMG_20190130_183226.jpg,1200,674,Five Cent,440,2,608,94
IMG_20190130_183226.jpg,1200,674,Five Cent,206,2,362,34
IMG_20190130_183226.jpg,1200,674,Five Cent,2,2,122,32
IMG_20190130_183226.jpg,1200,674,Ten Cent,154,34,306,160
IMG_20190130_183226.jpg,1200,674,Twenty Cent,590,268,784,448
IMG_20190131_121050.jpg,1200,674,Five Cent,456,550,590,668
IMG_20190131_121050.jpg,1200,674,Five Cent,628,338,738,446
IMG_20190131_121050.jpg,1200,674,Five Cent,524,312,632,416
IMG_20190131_121050.jpg,1200,674,Five Cent,750,68,874,178
IMG_20190131_121050.jpg,1200,674,Five Cent,388,2,508,72
IMG_20190131_121050.jpg,1200,674,One Euro,392,76,504,180
IMG_20190131_121050.jpg,1200,674,Two Euro,484,218,624,344
IMG_20190129_163918.jpg,1200,674,Ten Cent,554,66,694,194
IMG_20190129_163918.jpg,1200,674,Twenty Cent,446,386,608,540
IMG_20190129_163918.jpg,1200,674,Fifty Cent,464,194,630,356
IMG_20190129_163918.jpg,1200,674,One Euro,980,2,1120,116
IMG_20190129_163918.jpg,1200,674,Two Euro,656,416,844,596
IMG_20190131_120656.jpg,1200,674,Five Cent,734,238,934,398
IMG_20190131_120656.jpg,1200,674,Five Cent,690,104,852,238
IMG_20190131_120656.jpg,1200,674,Five Cent,448,76,612,196
IMG_20190131_120656.jpg,1200,674,Five Cent,288,164,458,278
IMG_20190131_120656.jpg,1200,674,Five Cent,612,312,780,466
IMG_20190131_120656.jpg,1200,674,Ten Cent,746,444,940,616
IMG_20190131_120656.jpg,1200,674,Twenty Cent,654,494,892,674
IMG_20190131_120656.jpg,1200,674,Twenty Cent,322,226,524,396
IMG_20190131_120656.jpg,1200,674,Twenty Cent,606,30,774,170
IMG_20190131_120656.jpg,1200,674,Fifty Cent,506,168,714,334
IMG_20190131_120656.jpg,1200,674,One Euro,286,8,464,142
IMG_20190131_120656.jpg,1200,674,Two Euro,480,348,734,556
IMG_20190131_121208.jpg,1200,674,Five Cent,534,394,714,558
IMG_20190131_121208.jpg,1200,674,Five Cent,582,262,756,418
IMG_20190131_121208.jpg,1200,674,Five Cent,842,202,1020,364
IMG_20190131_121208.jpg,1200,674,Five Cent,724,108,892,244
IMG_20190131_121208.jpg,1200,674,Five Cent,428,208,596,366
IMG_20190131_121208.jpg,1200,674,Five Cent,552,104,724,246
IMG_20190131_121208.jpg,1200,674,Five Cent,440,2,620,86
IMG_20190131_121208.jpg,1200,674,Ten Cent,296,258,458,412
IMG_20190131_121208.jpg,1200,674,Twenty Cent,600,2,770,112
IMG_20190131_121208.jpg,1200,674,Twenty Cent,332,80,506,242
IMG_20190131_121208.jpg,1200,674,Fifty Cent,808,312,1036,490
IMG_20190129_141000_008.jpg,1200,674,Fifty Cent,404,182,726,488
IMG_20190129_164323.jpg,1200,674,Five Cent,448,154,852,538
IMG_20190129_164047.jpg,674,1200,Five Cent,362,486,512,638
IMG_20190129_164047.jpg,674,1200,Ten Cent,278,718,434,858
IMG_20190129_164047.jpg,674,1200,Twenty Cent,260,1040,418,1188
IMG_20190129_164047.jpg,674,1200,Fifty Cent,230,864,430,1038
IMG_20190129_164047.jpg,674,1200,One Euro,160,14,346,190
